subject,ID,manual_cl,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold,eeg_cl_fzpz34,eeg_cl_fz34pz34,eeg_cl_fzpz
15,4,4.0,15,17,8,2,8,7,15,17,8,2,4,9,3.2649542777459155,2.3580645166798524,4.099676722601179
15,5,8.0,15,18,9,3,10,5,15,18,9,3,5,10,4.145898646984054,2.884841923150713,4.5807905203976915
15,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,3.0833397234512914,2.1510361437687466,3.5826604797475983
15,7,5.0,6,23,7,2,13,10,6,21,7,2,4,10,9.174056807601788,5.2261647205615684,11.216736446035886
15,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,3.8890516368202888,3.1596841032897833,4.600019257254847
15,9,2.0,12,12,9,7,14,8,12,12,9,7,4,7,5.292022687992725,3.082410073691386,7.322508076599538
15,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,3.0436081441860923,2.2210452657186814,3.768097073550602
15,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,3.555680087066123,2.5933273012960014,4.348719370533951
15,12,4.0,5,17,7,3,8,6,5,16,7,3,4,8,2.8646810738846287,1.9536148663130153,2.6941421161498282
15,13,2.0,8,16,6,3,7,5,8,15,6,3,4,7,2.6460170677876267,2.238412245699775,2.7982229065393294
16,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,7.585705074179969,4.622077834154174,8.930317787442378
16,2,2.0,10,10,6,2,6,5,10,10,6,2,4,9,5.040409187680455,3.04134191903746,6.345162457723013
16,3,5.0,7,13,6,2,6,5,7,12,6,2,4,10,3.0234587042938386,2.4094386467028492,3.9150203561298222
16,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,6.269701942124745,3.5083931183847223,7.006702867925222
16,5,7.0,15,18,9,3,10,5,15,18,9,3,5,10,6.0349416857479055,3.820033892344245,7.681744906438884
16,6,4.0,4,21,5,4,5,11,4,20,11,5,4,13,2.5786465810928143,1.53397812386032,3.391794167141614
16,7,6.0,6,23,7,2,13,10,6,21,7,2,4,10,33.284499332833455,13.996079025810337,38.94909698666237
16,8,1.0,4,7,6,1,2,3,5,7,6,1,3,6,8.62448045612808,5.468057222119944,10.289715283501733
16,9,2.0,12,12,9,7,14,8,12,12,9,7,4,7,4.787733572497544,3.1481322815682846,6.332891451872921
16,10,7.0,15,23,9,3,10,8,15,23,9,3,4,11,20.81056379397599,8.835761318812947,24.371181788874292
16,11,4.0,10,27,11,2,5,6,10,27,11,2,4,12,3.7319222325480874,3.2942395852265336,5.157642246063076
16,12,4.0,5,17,7,3,8,6,5,16,7,3,4,8,3.331269599565123,2.495366465725786,3.706772446933297
16,13,3.0,8,16,6,3,7,5,8,15,6,3,4,7,2.818720270801113,2.437578672947977,3.717541543841836
17,1,8.0,10,12,6,2,7,6,10,12,6,2,4,7,2.654467133189121,2.312289433262701,3.4409823388215397
17,2,8.0,10,10,6,2,6,5,10,10,6,2,4,9,2.913653948266169,2.2512291885956603,3.1839133196531364
17,3,7.0,7,13,6,2,6,5,7,12,6,2,4,10,3.3088710370594487,2.6685828634459634,4.335733616860286
17,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,3.0311908497443705,2.363178836960955,4.288469280004763
17,5,7.0,15,18,9,3,10,5,15,18,9,3,5,10,2.8247591516567234,2.2518496332017857,3.0971402707928366
17,6,7.0,4,21,5,4,5,11,4,20,11,5,4,13,2.9960605671421097,2.4115579220041123,3.442775811442735
17,7,7.0,6,23,7,2,13,10,6,21,7,2,4,10,2.685694091161319,2.340638780542959,3.335270651187521
17,8,7.0,4,7,6,1,2,3,5,7,6,1,3,6,3.7211038894155264,2.9869333173590817,4.51854319472842
17,9,8.0,12,12,9,7,14,8,12,12,9,7,4,7,7.848264654146343,4.219916125799818,8.857900889520643
17,10,5.0,15,23,9,3,10,8,15,23,9,3,4,11,2.6826323100722025,2.1931037473585433,3.044346130334621
17,11,8.0,10,27,11,2,5,6,10,27,11,2,4,12,3.4559557608103306,2.7002979889739582,3.9798990409809796
17,12,6.0,5,17,7,3,8,6,5,16,7,3,4,8,4.428641683753124,3.0389981832284283,4.397631378025747
17,13,6.0,8,16,6,3,7,5,8,15,6,3,4,7,3.8347103986967834,2.9141715070599155,4.215708038754029
18,1,1.0,10,12,6,2,7,6,10,12,6,2,4,7,1.672679491093261,1.3396280443826818,2.103205301266057
18,2,3.0,10,10,6,2,6,5,10,10,6,2,4,9,2.304280542077832,1.954852555048829,3.462183698191325
18,3,2.0,7,13,6,2,6,5,7,12,6,2,4,10,2.634078822593785,2.003371350661645,4.247572898885957
18,4,3.0,15,17,8,2,8,7,15,17,8,2,4,9,1.5483582795664212,1.4354369511720215,2.014381910030136
18,5,3.0,15,18,9,3,10,5,15,18,9,3,5,10,24.04610022612906,10.929020721501727,36.18684379793897
18,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,1.9637386865416606,2.2586777550494976,1.9377627117292975
18,7,3.0,6,23,7,2,13,10,6,21,7,2,4,10,1.6571316554213265,1.5734172416911627,2.4345607574371346
18,8,3.0,4,7,6,1,2,3,5,7,6,1,3,6,3.4710768323649526,2.155713311839906,5.194862389266374
18,9,2.0,12,12,9,7,14,8,12,12,9,7,4,7,0.8170694773046099,0.6315348849908448,1.3812950660558463
18,10,5.0,15,23,9,3,10,8,15,23,9,3,4,11,2.386690863010246,1.7176331443954564,3.0012293501852687
18,11,2.0,10,27,11,2,5,6,10,27,11,2,4,12,2.266747709311233,1.782327154885388,2.8785738372259124
