Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P10,Pz,15,0.513222945100518,-1,0.642235486873097
P10,P3,16,0.594473446027611,1.11808250041548,0.997295902641873
P10,T5,17,0.568669057704399,0.445399591169611,0.982203316843927
P10,O2,18,0.579012997875538,0.715051081460024,0.992263347202255
P10,O1,19,0.517266642066331,-0.894586695681336,0.899891771797777
P11,Fp2,1,0.491141148616007,0.71363769867185,0.924648477680358
P11,Fp1,2,0.491743979361787,0.727129882584289,0.966788928141062
P11,F8,3,0.325593093559641,-2.99155620658977,0.83805211030287
P11,F4,4,0.400719838348514,-1.31011599384249,0.730185074210624
P11,Fz,5,0.33872840709309,-2.69756976482057,0.61374801265602
P11,F3,6,0.447724057562903,-0.258096708593641,0.961663673569537
P11,F7,7,0.459255817901667,0,0.0634427032531651
P11,T4,8,0.328958708600338,-2.91622909790219,0.962596268939825
P11,C4,9,0.335435184931453,-2.77127662098275,1
P11,Cz,10,0.488559796134828,0.655863468238627,0.948585255067277
P11,C3,11,0.295768700309576,-3.65906728100646,0.956672955970424
P11,T3,12,0.290262077289985,-3.78231310255243,1
P11,T6,13,0.4629278124906,0.0821843057379047,0.990385269989509
P11,P4,14,0.503935815572309,1,0.850551475419867
P11,Pz,15,0.461846397901316,0.0579807550292513,0.592463765564637
P11,P3,16,0.465786879019003,0.146174159754424,0.941138482415349
P11,T5,17,0.394642375546052,-1.44613799740796,0.848937941644964
